OrderDate,Region,Category,Product,Quantity,UnitPrice,Discount,Revenue,Profit
2024-06-17,North,Electronics,Laptop,5,235.47,0.11,1047.84,345.1
2024-06-18,West,Office Supplies,Pen Set,3,165.34,0.15,421.62,109.35
2024-06-20,West,Furniture,Chair,5,355.73,0.11,1583.0,541.42
2024-06-20,East,Furniture,Desk,2,59.18,0.05,112.44,35.67
2024-06-24,South,Furniture,Desk,5,103.67,0.1,466.52,90.01
2024-06-25,East,Electronics,Phone,8,129.15,0.04,991.87,217.93
2024-06-26,South,Furniture,Chair,8,361.03,0.07,2686.06,767.94
2024-06-27,East,Electronics,Headphones,3,331.76,0.1,895.75,192.71
2024-06-27,North,Electronics,Headphones,9,236.94,0.0,2132.46,558.71
2024-07-02,East,Furniture,Sofa,6,73.07,0.0,438.42,101.87
2024-07-05,South,Electronics,Laptop,5,53.98,0.06,253.71,83.58
2024-07-05,East,Furniture,Desk,7,272.2,0.14,1638.64,499.03
2024-07-06,Central,Office Supplies,Notebook,9,31.11,0.12,246.39,49.75
2024-07-08,Central,Furniture,Desk,6,115.1,0.01,683.69,158.31
2024-07-08,South,Furniture,Cabinet,2,83.19,0.11,148.08,28.74
2024-07-12,West,Electronics,Phone,6,310.84,0.02,1827.74,432.89
2024-07-15,Central,Furniture,Sofa,5,242.36,0.11,1078.5,332.94
2024-07-16,West,Office Supplies,Stapler,8,110.3,0.11,785.34,190.46
2024-07-17,North,Office Supplies,Pen Set,5,199.82,0.05,949.14,190.29
2024-07-17,Central,Office Supplies,Binder,9,246.66,0.08,2042.34,521.92
2024-07-17,West,Electronics,Laptop,8,166.96,0.14,1148.68,233.62
2024-07-25,North,Office Supplies,Binder,1,349.94,0.11,311.45,95.38
2024-07-26,East,Furniture,Chair,1,54.64,0.02,53.55,13.77
2024-07-29,Central,Electronics,Tablet,3,50.98,0.06,143.76,31.27
2024-08-02,North,Electronics,Tablet,4,398.06,0.03,1544.47,382.04
2024-08-02,North,Furniture,Sofa,1,122.1,0.08,112.33,32.32
2024-08-03,East,Office Supplies,Notebook,1,270.34,0.1,243.31,78.92
2024-08-04,Central,Office Supplies,Binder,9,113.63,0.12,899.95,284.29
2024-08-08,East,Office Supplies,Pen Set,9,309.37,0.09,2533.74,499.63
2024-08-11,North,Office Supplies,Notebook,9,388.57,0.13,3042.5,981.25
2024-08-12,West,Electronics,Headphones,1,252.04,0.04,241.96,67.46
2024-08-13,South,Furniture,Desk,3,363.58,0.05,1036.2,277.06
2024-08-20,West,Electronics,Phone,1,116.49,0.04,111.83,33.37
2024-08-23,North,Furniture,Desk,9,147.82,0.08,1223.95,372.68
2024-08-24,South,Electronics,Phone,8,191.74,0.11,1365.19,454.53
2024-08-27,East,Office Supplies,Stapler,9,194.85,0.09,1595.82,395.84
2024-08-29,West,Office Supplies,Binder,1,312.97,0.11,278.54,72.56
2024-08-29,East,Office Supplies,Pen Set,2,142.79,0.15,242.74,67.63
2024-08-30,East,Furniture,Desk,3,256.73,0.09,700.87,213.51
2024-08-31,North,Furniture,Sofa,6,151.61,0.05,864.18,263.9
2024-09-01,East,Electronics,Laptop,1,242.17,0.1,217.95,53.95
2024-09-02,Central,Furniture,Sofa,3,117.36,0.09,320.39,62.11
2024-09-06,Central,Furniture,Cabinet,4,351.9,0.14,1210.54,304.68
2024-09-07,East,Electronics,Headphones,7,44.94,0.12,276.83,67.33
2024-09-10,West,Electronics,Laptop,7,148.83,0.05,989.72,300.29
2024-09-11,Central,Furniture,Chair,5,87.85,0.1,395.32,87.16
2024-09-11,Central,Electronics,Phone,2,325.92,0.14,560.58,159.73
2024-09-14,North,Office Supplies,Binder,8,277.32,0.09,2018.89,407.5
2024-09-15,West,Office Supplies,Binder,3,290.24,0.12,766.23,183.34
2024-09-17,South,Office Supplies,Pen Set,9,367.68,0.13,2878.93,738.18
2024-09-17,East,Office Supplies,Pen Set,8,116.01,0.0,928.08,276.82
2024-09-20,East,Furniture,Chair,4,89.25,0.11,317.73,80.16
2024-09-21,South,Electronics,Phone,4,111.59,0.1,401.72,113.97
2024-09-26,West,Electronics,Phone,8,340.92,0.11,2427.35,659.63
2024-09-29,North,Office Supplies,Stapler,8,250.32,0.12,1762.25,349.17
2024-10-06,South,Electronics,Headphones,9,132.58,0.02,1169.36,213.59
2024-10-08,North,Office Supplies,Notebook,6,51.07,0.13,266.59,89.72
2024-10-09,North,Electronics,Laptop,3,22.64,0.08,62.49,15.68
2024-10-10,West,Furniture,Desk,7,360.51,0.05,2397.39,476.38
2024-10-10,North,Office Supplies,Notebook,5,222.73,0.12,980.01,293.92
2024-10-10,North,Electronics,Headphones,3,237.36,0.12,626.63,117.44
2024-10-11,Central,Office Supplies,Pen Set,2,34.81,0.09,63.35,15.03
2024-10-13,East,Furniture,Cabinet,9,207.82,0.09,1702.05,548.87
2024-10-14,South,Office Supplies,Binder,7,275.2,0.08,1772.29,551.7
2024-10-14,South,Office Supplies,Stapler,2,142.57,0.13,248.07,50.41
2024-10-14,South,Office Supplies,Notebook,8,30.3,0.03,235.13,51.56
2024-10-15,South,Office Supplies,Binder,3,246.13,0.01,731.01,193.27
2024-10-15,West,Furniture,Desk,5,353.17,0.05,1677.56,536.17
2024-10-15,North,Electronics,Phone,1,333.32,0.05,316.65,74.34
2024-10-17,Central,Electronics,Laptop,3,272.77,0.08,752.85,181.44
2024-10-17,East,Electronics,Phone,5,174.43,0.05,828.54,161.38
2024-10-18,East,Furniture,Chair,5,338.09,0.07,1572.12,527.66
2024-10-18,West,Office Supplies,Stapler,6,287.93,0.04,1658.48,391.64
2024-10-19,East,Furniture,Sofa,7,44.84,0.05,298.19,81.02
2024-10-19,West,Furniture,Cabinet,8,226.45,0.08,1666.67,466.62
2024-10-19,East,Furniture,Desk,5,329.72,0.07,1533.2,293.48
2024-10-20,South,Electronics,Laptop,6,22.69,0.0,136.14,36.65
2024-10-21,South,Electronics,Phone,1,232.74,0.02,228.09,55.66
2024-10-28,East,Furniture,Chair,2,83.47,0.15,141.9,31.13
2024-10-28,East,Furniture,Chair,8,212.24,0.09,1545.11,282.88
2024-10-29,South,Office Supplies,Pen Set,8,293.8,0.01,2326.9,477.28
2024-10-29,Central,Furniture,Chair,5,116.14,0.1,522.63,100.78
2024-10-30,West,Office Supplies,Stapler,1,137.06,0.08,126.1,33.61
2024-10-31,Central,Electronics,Phone,9,189.48,0.03,1654.16,450.14
2024-11-01,West,Electronics,Phone,5,53.6,0.12,235.84,66.1
2024-11-02,Central,Electronics,Tablet,2,380.58,0.14,654.6,207.79
2024-11-04,East,Office Supplies,Stapler,6,377.14,0.09,2059.18,487.89
2024-11-06,East,Furniture,Desk,7,90.48,0.06,595.36,201.55
2024-11-07,South,Office Supplies,Notebook,5,30.02,0.06,141.09,44.84
2024-11-07,West,Office Supplies,Stapler,6,98.22,0.02,577.53,130.44
2024-11-07,North,Furniture,Chair,6,324.8,0.15,1656.48,454.74
2024-11-08,South,Electronics,Laptop,3,333.96,0.12,881.65,253.09
2024-11-08,West,Electronics,Headphones,1,46.96,0.06,44.14,8.33
2024-11-11,East,Electronics,Headphones,5,288.75,0.02,1414.88,393.29
2024-11-12,North,Office Supplies,Notebook,3,241.68,0.14,623.53,151.97
2024-11-13,West,Electronics,Tablet,8,240.18,0.1,1729.3,339.28
2024-11-14,West,Office Supplies,Pen Set,5,58.95,0.14,253.48,75.27
2024-11-25,North,Electronics,Phone,6,207.19,0.05,1180.98,339.74
2024-11-25,North,Office Supplies,Notebook,3,66.66,0.13,173.98,50.33
2024-11-26,East,Electronics,Headphones,8,289.07,0.0,2312.56,797.57
2024-11-27,North,Electronics,Laptop,4,243.4,0.14,837.3,186.66
2024-11-30,West,Furniture,Sofa,3,285.1,0.12,752.66,194.25
2024-12-01,South,Furniture,Cabinet,7,81.71,0.03,554.81,168.8
2024-12-02,West,Electronics,Laptop,4,177.56,0.01,703.14,245.73
2024-12-03,South,Furniture,Sofa,9,86.85,0.0,781.65,206.33
2024-12-04,Central,Electronics,Phone,4,109.94,0.14,378.19,106.13
2024-12-08,South,Office Supplies,Stapler,5,94.4,0.0,472.0,136.91
2024-12-08,Central,Electronics,Laptop,3,278.67,0.08,769.13,196.99
2024-12-09,North,Electronics,Laptop,6,103.64,0.03,603.18,161.4
2024-12-09,Central,Office Supplies,Binder,6,127.67,0.0,766.02,194.17
2024-12-10,West,Electronics,Laptop,3,377.53,0.12,996.68,292.41
2024-12-11,West,Furniture,Sofa,9,146.22,0.05,1250.18,273.36
2024-12-12,Central,Electronics,Laptop,6,218.08,0.13,1138.38,252.38
2024-12-14,North,Electronics,Phone,1,356.67,0.09,324.57,71.28
2024-12-14,North,Furniture,Chair,3,392.53,0.01,1165.81,270.43
2024-12-15,East,Office Supplies,Binder,4,70.44,0.15,239.5,72.2
2024-12-20,South,Furniture,Sofa,2,88.77,0.13,154.46,40.73
2024-12-20,West,Furniture,Desk,8,63.41,0.08,466.7,162.18
2024-12-22,North,Office Supplies,Notebook,3,176.79,0.06,498.55,155.54
2024-12-24,North,Furniture,Desk,4,70.26,0.14,241.69,71.9
2024-12-25,East,Electronics,Tablet,6,246.02,0.09,1343.27,381.76
2024-12-26,South,Furniture,Cabinet,2,399.78,0.01,791.56,273.97
2024-12-27,East,Furniture,Desk,7,267.11,0.07,1738.89,495.02
2024-12-28,Central,Furniture,Sofa,2,330.83,0.12,582.26,155.04
2024-12-30,East,Electronics,Headphones,6,266.65,0.05,1519.9,436.42
2024-12-30,Central,Electronics,Laptop,5,58.68,0.02,287.53,63.78
2024-12-30,East,Furniture,Chair,2,60.51,0.01,119.81,36.4
